,actual,capital,days,location,sec_type,section,time_end,time_start,title,department,full_rate,time_delta
0,104,115,TRF,STBIO,Lecture,COMP 189-001,9,8,Computers and Society.,computer science,0.9043478260869565,1
1,196,195,TR,ENGMC,Lecture,COMP 202-001,15,14,Foundations of Programming.,computer science,1.005128205128205,1
2,233,235,MW,MAASS,Lecture,COMP 202-002,12,11,Foundations of Programming.,computer science,0.9914893617021276,1
3,195,195,MWF,ENGMC,Lecture,COMP 202-003,11,10,Foundations of Programming.,computer science,1.0,1
4,388,425,TR,ADAMS,Lecture,COMP 206-001,15,14,Introduction to Software Systems.,computer science,0.9129411764705883,1
5,81,83,MW,ENGTR,Lecture,COMP 208-001,15,14,Computers in Engineering.,computer science,0.9759036144578314,1
6,134,140,TR,MAASS,Lecture,COMP 208-002,12,11,Computers in Engineering.,computer science,0.9571428571428572,1
7,355,390,TR,ADAMS,Lecture,COMP 250-001,17,16,Introduction to Computer Science.,computer science,0.9102564102564102,1
8,263,300,MW,LEA,Lecture,COMP 250-002,17,16,Introduction to Computer Science.,computer science,0.8766666666666667,1
9,336,355,MW,ADAMS,Lecture,COMP 251-001,9,8,Algorithms and Data Structures.,computer science,0.9464788732394366,1
10,53,74,TR,ENGTR,Lecture,COMP 252-001,9,8,Honours Algorithms and Data Structures.,computer science,0.7162162162162162,1
11,245,255,MW,ENGMD,Lecture,COMP 273-001,14,13,Introduction to Computer Systems.,computer science,0.9607843137254902,1
12,211,233,TR,BIRKS,Lecture,COMP 302-001,14,13,Programming Languages and Paradigms.,computer science,0.9055793991416309,1
13,235,240,WF,SADB,Lecture,COMP 303-001,17,16,Software Design.,computer science,0.9791666666666666,1
14,88,92,TRF,MDHAR,Lecture,COMP 310-001,9,8,Operating Systems.,computer science,0.9565217391304348,1
15,29,58,F,ENGTR,Lecture,COMP 321-001,15,13,Programming Challenges.,computer science,0.5,2
16,151,158,T,ENGTR,Lecture,COMP 322-001,15,14,Introduction to C++.,computer science,0.9556962025316456,1
17,143,300,MW,STBIO,Lecture,COMP 360-001,9,8,Algorithm Design.,computer science,0.4766666666666667,1
18,58,75,TR,ENGTR,Lecture,COMP 361D2-001,17,16,Software Engineering Project.,computer science,0.7733333333333333,1
19,28,52,TR,BIRKS,Lecture,COMP 362-001,14,13,Honours Algorithm Design.,computer science,0.5384615384615384,1
20,62,62,TR,MAASS,Lecture,COMP 409-001,11,10,Concurrent Programming.,computer science,1.0,1
21,235,250,MW,ENGMC,Lecture,COMP 421-001,11,10,Database Systems.,computer science,0.94,1
22,261,277,MW,ENGTR,Lecture,COMP 424-001,17,16,Artificial Intelligence.,computer science,0.9422382671480144,1
23,39,72,MWF,ENGTR,Lecture,COMP 520-001,10,9,Compiler Design.,computer science,0.5416666666666666,1
24,20,60,MW,ENGMC,Lecture,COMP 531-001,14,13,Advanced Theory of Computation.,computer science,0.3333333333333333,1
25,77,128,TR,MAASS,Lecture,COMP 535-001,17,16,Computer Networks 1.,computer science,0.6015625,1
26,31,57,TR,ENGTR,Lecture,COMP 540-001,9,8,Matrix Computations.,computer science,0.543859649122807,1
27,37,72,TR,ENGTR,Lecture,COMP 546-001,9,8,Computational Perception.,computer science,0.5138888888888888,1
28,37,62,TR,ENGTR,Lecture,COMP 547-001,15,14,Cryptography and Data Security.,computer science,0.5967741935483871,1
29,132,134,TR,LEA,Lecture,COMP 551-001,12,11,Applied Machine Learning.,computer science,0.9850746268656716,1
30,94,123,MW,STBIO,Lecture,COMP 551-002,9,8,Applied Machine Learning.,computer science,0.7642276422764228,1
31,4,60,TR,ENGMC,Lecture,COMP 552-001,9,8,Combinatorial Optimization.,computer science,0.06666666666666667,1
32,56,135,TR,BURN,Lecture,COMP 557-001,9,8,Fundamentals of Computer Graphics.,computer science,0.4148148148148148,1
33,12,68,TR,ENGTR,Lecture,COMP 559-001,15,14,Fundamentals of Computer Animation.,computer science,0.17647058823529413,1
34,9,15,R,WILSON,Lecture,COMP 567-001,17,14,Discrete Optimization 2.,computer science,0.6,3
35,10,22,TR,ENGMC,Topics Course,COMP 599-001,14,13,Topics in Computer Science 2.,computer science,0.45454545454545453,1
36,37,50,F,ENGTR,Topics Course,COMP 601-001,15,14,Thesis Literature Review.,computer science,0.74,1
37,15,20,TR,ENGMC,Lecture,COMP 762-002,11,10,Advanced Topics Programming 1.,computer science,0.75,1
38,114,140,TR,ENGMC,Lecture,COMP 767-001,17,16,Advanced Topics: Applications 2.,computer science,0.8142857142857143,1
0,22,85,TR,ENGMD,Lecture,MATH 111-001,15,14,Mathematics for Education Students.,math,0.25882352941176473,1
1,225,225,TR,SADB,Lecture,MATH 123-001,12,11,Linear Algebra and Probability.,math,1.0,1
2,65,65,TR,ARMST,Lecture,MATH 123-002,17,16,Linear Algebra and Probability.,math,1.0,1
3,254,252,TR,MAASS,Lecture,MATH 133-001,17,16,Linear Algebra and Geometry.,math,1.007936507936508,1
4,151,160,MWF,ENGTR,Lecture,MATH 140-001,9,8,Calculus 1.,math,0.94375,1
5,366,382,MWF,MCMED,Lecture,MATH 141-001,9,8,Calculus 2.,math,0.9581151832460733,1
6,389,389,MWF,MCMED,Lecture,MATH 141-002,12,11,Calculus 2.,math,1.0,1
7,391,391,TR,MCMED,Lecture,MATH 141-003,14,13,Calculus 2.,math,1.0,1
8,63,80,MWF,MAASS,Lecture,MATH 151-001,12,11,Calculus B.,math,0.7875,1
9,284,295,MWF,ADAMS,Lecture,MATH 203-001,10,9,Principles of Statistics 1.,math,0.9627118644067797,1
10,111,135,MWF,RPHYS,Lecture,MATH 204-001,12,11,Principles of Statistics 2.,math,0.8222222222222222,1
11,207,230,TR,MAASS,Lecture,MATH 222-001,14,13,Calculus 3.,math,0.9,1
12,208,230,TR,MAASS,Lecture,MATH 223-001,9,8,Linear Algebra.,math,0.9043478260869565,1
13,115,133,MWF,BURN,Lecture,MATH 236-001,10,9,Algebra 2.,math,0.8646616541353384,1
14,357,363,TR,ADAMS,Lecture,MATH 240-001,14,13,Discrete Structures 1.,math,0.9834710743801653,1
15,114,133,MWF,BURN,Lecture,MATH 243-001,11,10,Analysis 2.,math,0.8571428571428571,1
16,81,83,TR,BURN,Lecture,MATH 247-001,11,10,Honours Applied Linear Algebra.,math,0.9759036144578314,1
17,57,80,TR,MAASS,Lecture,MATH 249-001,14,13,Honours Complex Variables.,math,0.7125,1
18,73,81,MWF,ENGMD,Lecture,MATH 251-001,10,9,Honours Algebra 2.,math,0.9012345679012346,1
19,77,96,TR,BRONF,Lecture,MATH 255-001,12,11,Honours Analysis 2.,math,0.8020833333333334,1
