,course_id,title,credit,description,faculty,department,prerequesite,corequesite,prof name,semesters
0,AAAA 100,,0.0,AAAA    ,00,Student Services,,,"{'Fall': ['Heidi Emami', 'Fiorella Lisi', 'Pauline Frixione', 'Clara Spadafora', 'Charlotte Burns'], 'Winter': ['Heidi Emami', 'Fiorella Lisi', 'Pauline Frixione', 'Clara Spadafora', 'Charlotte Burns']}","{'Fall', 'Winter'}"
1,ACCT 351,Intermediate Financial Accounting 1,3.0,"Accounting : An examination of the theoretical foundation for financial reporting and revenue recognition. The tools of accounting, including a review of the accounting process and compound interest concepts. Asset recognition, measurement and disclosure. Partnership accounting.    ",Desautels Faculty of Management,Management,MGCR 211 ,,"{'Fall': ['Desmond Tsang', 'Amanda Abrams', 'Ralph Cecere'], 'Winter': ['Amanda Abrams', 'Michael George Murray', 'Karen Zajdman-Borden'], 'Summer': ['Ralph Cecere', 'Zhu Chen']}","{'Summer', 'Fall', 'Winter'}"
2,ACCT 352,Intermediate Financial Accounting 2,3.0,"Accounting : A continuation of Intermediate Financial Accounting 1. An examination of liability recognition, measurement and disclosure, including leases, pension costs and corporate income tax. Shareholders' equity, dilutive securities and earnings per share. The statement of changes in financial position, basic financial statement analysis and full disclosure in financial reporting.    ",Desautels Faculty of Management,Management,ACCT 351 and MGCR 341 or ACCT 311 and MGCR 341 ,,"{'Fall': ['Amanda Abrams', 'Ralph Cecere'], 'Winter': ['MaryJane Rabier', 'Ralph Cecere']}","{'Fall', 'Winter'}"
3,ACCT 354,Financial Statement Analysis,3.0,"Accounting : Interpretative nature of the conceptual framework underlying a multitude of financial reporting standards, including the impact of alternative accounting methods, management biases and stakeholder interests in the analysis and valuation of the firm.    ",Desautels Faculty of Management,Management,MGCR 211 and MGCR 341 ,,"{'Fall': ['Julia Scott', 'Michael George Murray', 'Antoinette Noviello'], 'Winter': ['Steve Fortin', 'Karen Zajdman-Borden', 'Michael George Murray', 'Antoinette Noviello']}","{'Fall', 'Winter'}"
4,ACCT 361,Management Accounting,3.0,Accounting : The role of management accounting information to support internal management decisions and to provide performance incentives.    ,Desautels Faculty of Management,Management,MGCR 211 ,,"{'Fall': ['Kevin Paul Parent', 'Marco Di Sabato'], 'Winter': ['Dongyoung Lee', 'Kevin Paul Parent']}","{'Fall', 'Winter'}"
5,ACCT 362,Cost Accounting,3.0,"Accounting : An examination of a number of recurring issues in the area of decision-making and control, including cost allocation, alternative costing systems, and innovations in costing and performance measurement.    ",Desautels Faculty of Management,Management,ACCT 361 or ACCT 313 ,,"{'Fall': ['Philippe Levy', 'Deirdre Lapointe'], 'Winter': ['Jingjing Zhang', 'Deirdre Lapointe']}","{'Fall', 'Winter'}"
6,ACCT 385,Principles of Taxation,3.0,Accounting : An introduction to the concepts underlying the Canadian tax system and how they are applied in relation to the taxation of individuals and businesses.    ,Desautels Faculty of Management,Management,MGCR 211 ,,"{'Fall': ['Larry Goldsman', 'Joseph Armanious'], 'Winter': ['Brian Wenzel', 'Joseph Armanious'], 'Summer': ['Joseph Armanious']}","{'Summer', 'Fall', 'Winter'}"
7,ACCT 401,Sustainability and Environmental Accounting,3.0,"Accounting : Developing measures of corporate environmental performance, assessing their reliability and reporting to external stakeholders. Using sustainability metrics in strategic and operational business decisions. Implementing and utilizing
Environmental management systems and standards. Managing corporate environmental risks and accounting for environmental costs. Environmental auditing.
    ",Desautels Faculty of Management,Management,MGCR 211 ,,"{'Fall': ['Dror Etzion', 'Jérôme Conraud']}",{'Fall'}
8,ACCT 434,Topics in Accounting 1,3.0,Accounting : Topics will be selected from current issues in the Accounting Area.    ,Desautels Faculty of Management,Management,,,{},set()
9,ACCT 452,Financial Reporting Valuation,3.0,"Accounting : Models to determine firm value from accounting information and a broader perspective on key sources of information, key value drivers, in a setting where evaluating firm value is the ultimate purpose.    ",Desautels Faculty of Management,Management,ACCT 354. ,,{'Winter': ['Charles Leclerc']},{'Winter'}
