,actual,course_number,days,location,sec_type,term,time_start
0,40,102.0,11,12,1,1,5
1,80,202.0,14,21,1,1,13
2,106,202.0,11,10,1,1,17
3,47,202.0,8,10,1,1,16
4,13,203.0,11,9,1,1,5
5,30,206.0,11,20,1,1,23
6,98,208.0,11,13,1,1,20
7,109,208.0,11,8,1,1,20
8,63,250.0,8,9,1,1,18
9,38,251.0,11,5,1,1,20
10,49,273.0,11,24,1,1,17
11,22,302.0,8,12,1,1,18
12,23,302.0,11,9,1,1,20
13,22,310.0,11,9,1,1,23
14,84,330.0,11,9,1,1,5
15,65,350.0,8,15,1,1,16
16,44,360.0,11,24,1,1,13
17,10,400.0,10,12,2,1,13
18,28,409.0,8,9,1,1,10
19,43,420.0,11,4,1,1,17
20,60,424.0,11,10,1,1,20
21,9,490.0,7,9,1,1,13
22,13,507.0,11,9,1,1,9
23,14,520.0,8,25,1,1,13
24,29,522.0,7,19,1,1,20
25,35,533.0,8,5,1,1,18
26,62,535.0,7,10,1,1,24
27,18,547.0,8,12,1,1,18
28,29,557.0,11,5,1,1,17
29,20,562.0,7,4,1,1,17
30,16,566.0,11,25,1,1,17
31,31,573.0,11,15,1,1,9
32,24,577.0,11,10,1,1,23
33,1,601.0,0,0,8,1,1
34,23,601.0,0,0,8,1,1
35,37,601.0,0,0,8,1,1
36,27,610.0,7,9,1,1,9
37,9,612.0,11,9,1,1,9
38,24,623.0,7,9,1,1,5
39,19,646.0,7,9,1,1,17
40,8,648.0,11,9,1,1,20
41,32,652.0,11,9,1,1,13
42,8,667.0,7,9,1,1,9
43,9,694.0,0,0,2,1,1
44,5,695.0,0,0,2,1,1
45,38,698.0,0,0,6,1,1
46,22,699.0,0,0,6,1,1
47,1,701.0,0,0,6,1,1
48,3,761.0,10,9,1,1,17
49,3,761.0,9,9,1,1,17
50,13,765.0,11,9,1,1,9
51,16,766.0,11,9,1,1,13
52,8,766.0,11,9,1,1,23
53,25,767.0,11,9,1,1,23
54,13,102.0,11,5,1,2,5
55,69,202.0,8,9,1,2,13
56,84,202.0,11,13,1,2,9
57,45,202.0,8,11,1,2,16
58,16,203.0,11,11,1,2,9
59,51,206.0,11,5,1,2,23
60,114,208.0,11,9,1,2,20
61,54,208.0,10,15,1,2,23
62,74,250.0,8,5,1,2,18
63,34,251.0,11,11,1,2,20
64,14,252.0,11,12,1,2,20
65,22,273.0,11,5,1,2,17
66,41,302.0,8,11,1,2,18
67,23,303.0,11,11,1,2,23
68,43,304.0,8,11,1,2,20
69,54,310.0,8,11,1,2,22
70,25,335.0,8,11,1,2,10
71,42,360.0,11,11,1,2,9
72,36,361.0,8,9,1,2,7
73,14,362.0,11,11,1,2,13
74,13,400.0,0,0,2,2,1
75,56,421.0,11,24,1,2,9
76,29,423.0,8,11,1,2,10
77,39,435.0,8,5,1,2,20
78,14,506.0,11,11,1,2,20
79,37,526.0,8,5,1,2,18
80,8,531.0,11,11,1,2,13
81,19,537.0,11,11,1,2,13
82,19,540.0,11,11,1,2,17
83,26,558.0,11,11,1,2,17
84,13,567.0,11,9,1,2,23
85,33,575.0,11,11,1,2,5
86,21,601.0,0,0,8,2,1
87,50,601.0,0,0,8,2,1
88,4,617.0,11,9,1,2,20
89,14,642.0,11,9,1,2,9
90,21,644.0,7,9,1,2,13
91,1,647.0,11,9,1,2,17
92,5,690.0,11,9,1,2,23
93,8,694.0,0,0,2,2,1
94,10,695.0,0,0,2,2,1
95,4,698.0,0,0,6,2,1
96,25,699.0,0,0,6,2,1
97,3,701.0,0,0,6,2,1
98,11,760.0,11,9,1,2,23
99,9,760.0,7,9,1,2,17
100,10,761.0,11,9,1,2,13
101,9,762.0,7,9,1,2,9
102,3,762.0,11,13,1,2,13
103,17,763.0,11,9,1,2,9
104,8,764.0,11,9,1,2,17
105,1,765.0,0,0,1,2,1
106,30,766.0,7,9,1,2,23
107,3,766.0,8,2,1,2,10
108,19,767.0,11,9,1,2,20
109,34,102.0,11,11,1,3,5
110,92,202.0,8,13,1,3,13
111,84,202.0,11,11,1,3,17
112,47,202.0,8,11,1,3,16
113,11,203.0,11,11,1,3,5
114,41,206.0,11,11,1,3,23
115,130,208.0,11,13,1,3,20
116,110,208.0,11,11,1,3,20
117,71,250.0,8,11,1,3,18
118,32,251.0,11,11,1,3,20
119,35,273.0,11,11,1,3,17
120,29,302.0,8,5,1,3,18
121,12,302.0,8,5,1,3,18
122,20,310.0,11,11,1,3,23
123,67,330.0,11,11,1,3,5
124,48,350.0,8,11,1,3,16
125,36,360.0,11,11,1,3,13
126,1,400.0,0,0,2,3,1
127,16,409.0,8,11,1,3,10
128,19,420.0,11,11,1,3,17
129,39,424.0,11,11,1,3,20
130,14,426.0,11,15,1,3,13
131,23,462.0,11,7,1,3,9
132,10,507.0,11,11,1,3,9
133,25,520.0,8,11,1,3,13
134,20,522.0,7,11,1,3,2
135,6,525.0,8,5,1,3,18
136,31,533.0,8,11,1,3,18
137,33,535.0,7,11,1,3,24
138,20,547.0,11,9,1,3,13
139,39,557.0,11,11,1,3,17
140,12,560.0,11,11,1,3,20
141,10,563.0,8,5,1,3,10
142,15,566.0,11,9,1,3,17
143,13,573.0,11,11,1,3,9
144,18,577.0,11,20,1,3,20
145,18,601.0,1,9,8,3,22
146,48,601.0,1,9,8,3,22
147,13,610.0,7,9,1,3,9
148,5,612.0,11,9,1,3,9
149,16,623.0,7,9,1,3,17
150,17,646.0,7,9,1,3,17
151,36,652.0,11,9,1,3,13
152,14,667.0,7,9,1,3,9
153,1,669.0,0,0,5,3,1
154,16,694.0,0,0,2,3,1
155,12,695.0,0,0,2,3,1
156,39,698.0,0,0,6,3,1
157,18,699.0,0,0,6,3,1
158,5,701.0,0,0,6,3,1
159,3,760.0,7,9,1,3,20
160,8,762.0,7,9,1,3,20
161,14,765.0,11,9,1,3,9
162,9,766.0,11,9,1,3,20
163,16,767.0,11,9,1,3,23
164,21,102.0,11,11,1,4,5
165,76,202.0,8,11,1,4,13
166,66,202.0,11,9,1,4,9
167,43,202.0,8,11,1,4,16
168,65,206.0,11,20,1,4,23
169,87,208.0,11,5,1,4,20
170,46,208.0,11,11,1,4,20
171,56,250.0,8,15,1,4,18
172,12,250.0,8,15,1,4,18
173,42,251.0,11,11,1,4,20
174,15,252.0,11,11,1,4,20
175,16,273.0,11,11,1,4,17
176,32,302.0,8,11,1,4,18
177,10,303.0,11,11,1,4,20
178,27,304.0,8,11,1,4,20
179,30,310.0,8,11,1,4,22
180,19,335.0,8,11,1,4,10
181,34,360.0,11,11,1,4,9
182,42,361.0,8,11,1,4,7
183,8,362.0,11,11,1,4,13
184,7,400.0,0,0,2,4,1
185,40,421.0,11,11,1,4,9
186,26,423.0,8,11,1,4,10
187,29,435.0,8,11,1,4,20
188,16,506.0,11,11,1,4,9
189,10,523.0,11,20,1,4,13
190,46,526.0,8,11,1,4,18
191,11,531.0,11,11,1,4,13
192,17,540.0,11,11,1,4,17
193,21,558.0,11,9,1,4,17
194,11,564.0,11,7,1,4,13
195,17,601.0,1,9,8,4,22
196,35,601.0,1,9,8,4,22
197,3,617.0,11,9,1,4,20
198,13,621.0,7,9,1,4,9
199,6,642.0,11,9,1,4,9
200,15,644.0,7,9,1,4,13
201,1,669.0,0,0,5,4,1
202,7,694.0,0,0,2,4,1
203,8,695.0,0,0,2,4,1
204,6,698.0,0,0,6,4,1
205,27,699.0,0,0,6,4,1
206,4,701.0,0,0,6,4,1
207,0,760.0,13,5,1,4,17
208,7,761.0,11,9,1,4,17
209,4,761.0,8,11,1,4,10
210,12,762.0,2,9,1,4,9
211,15,763.0,11,9,1,4,9
212,12,764.0,11,9,1,4,17
